"semel_city","city","county","napa","semel_napa","ezor","semel_ezor","שם.ישוב","בזב","מצביעים","פסולים","כשרים","אמת","ג","ודעם","ז","זך","זץ","טב","י","יז","ינ","יף","יק","יר","כ","כן","ל","מחל","נ","נז","ני","נץ","נק","פה","ףז","ץ","ק","קי","קך","קץ","שס"
967,"אבו ג'ווייעד (שבט)","הדרום","באר שבע",62,"באר שבע",17,"אבו גווייעד שבט",2018,595,6,589,13,0,554,0,0,0,0,0,1,0,0,0,0,0,1,1,4,0,1,0,0,0,8,2,0,0,0,0,2,2
472,"אבו גוש","ירושלים","ירושלים",11,"ירושלים",1,"אבו גוש",4821,2718,36,2682,75,4,2157,0,0,0,5,0,0,5,1,0,1,0,0,5,280,0,0,0,3,2,123,0,2,0,0,1,4,14
473,"אבו סנאן","הצפון","עכו",24,"עכו",5,"אבו סנאן",9422,6090,53,6037,92,6,4458,0,1,0,16,1,2,13,2,0,1,1,2,230,190,3,2,1,3,3,752,0,2,2,1,2,4,247
958,"אבו עבדון (שבט)","הדרום","באר שבע",62,"באר שבע",17,"אבו עבדון שבט",142,41,1,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1342,"אבו קורינאת (יישוב)","הדרום","באר שבע",62,"באר שבע",17,"אבו קרינאת יישוב",578,334,3,331,9,0,264,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,52,0,2,0,0,0,0,0
968,"אבו קורינאת (שבט)","הדרום","באר שבע",62,"באר שבע",17,"אבו קורינאת שבט",3037,1336,8,1328,9,0,1263,0,0,0,1,0,0,3,0,0,1,0,0,0,8,0,1,2,1,0,33,0,2,1,0,2,1,0
966,"אבו רובייעה (שבט)","הדרום","באר שבע",62,"באר שבע",17,"אבו רובייעה שבט",4060,1524,21,1503,8,1,1431,3,1,0,1,0,1,3,0,0,0,1,0,1,4,0,3,0,4,4,24,0,2,2,1,2,3,3
961,"אבו רוקייק (שבט)","הדרום","באר שבע",62,"באר שבע",17,"אבו רוקייק שבט",4870,2171,5,2166,3,2,2126,0,1,0,1,0,1,1,1,0,0,0,0,1,3,1,1,0,0,2,11,0,2,2,2,1,3,1
1375,"אבו תלול","הדרום","באר שבע",62,"באר שבע",17,"אבו תלול",943,576,2,574,0,0,565,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,2
652,"אבטין","חיפה","חיפה",31,"חיפה - כרמל",7,"אבטין",1818,1161,10,1151,4,0,1110,0,0,0,1,0,0,3,1,0,0,1,0,1,8,0,0,0,0,2,18,0,0,0,0,1,0,1
1275,"אבטליון","הצפון","עכו",24,"עכו",5,"אבטליון",308,233,0,233,35,0,7,1,0,0,9,0,0,0,0,0,0,0,0,4,25,10,0,0,0,0,142,0,0,0,0,0,0,0
